type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,183806.32,19391.0,0.0,382572.19,566378.51,0
PAYMENT,521.37,0.0,0.0,0.0,0.0,0
PAYMENT,3478.18,19853.0,16374.82,0.0,0.0,0
PAYMENT,1716.05,5769.17,4053.13,0.0,0.0,0
CASH_IN,253129.93,1328499.49,1581629.42,2713220.48,2460090.55,0
PAYMENT,24768.57,21573.0,0.0,0.0,0.0,0
CASH_OUT,124718.38,0.0,0.0,2482527.99,2607246.37,0
PAYMENT,1464.13,60483.0,59018.87,0.0,0.0,0
TRANSFER,353783.72,0.0,0.0,1639764.23,1993547.95,0
CASH_IN,266999.97,7411271.89,7678271.86,386812.88,119812.91,0
CASH_IN,53230.73,895081.62,948312.35,7015146.49,6961915.77,0
CASH_OUT,195227.91,0.0,0.0,1256726.0,1451953.91,0
CASH_OUT,39108.07,0.0,0.0,2484800.84,2523908.91,0
CASH_OUT,417787.06,36702.0,0.0,0.0,417787.06,0
DEBIT,819.35,274494.0,273674.65,923509.57,924328.92,0
PAYMENT,4017.63,10306.0,6288.37,0.0,0.0,0
PAYMENT,14691.54,0.0,0.0,0.0,0.0,0
CASH_OUT,239121.18,0.0,0.0,250452.44,489573.62,0
CASH_OUT,3167.66,62536.0,59368.34,0.0,0.0,0
CASH_OUT,270566.57,6494.0,0.0,0.0,586645.37,0
PAYMENT,9608.56,26809.0,17200.44,0.0,0.0,0
PAYMENT,180.04,21007.0,20826.96,0.0,0.0,0
PAYMENT,834.62,20508.0,19673.38,0.0,0.0,0
CASH_OUT,219979.57,50068.0,0.0,48281.99,268261.56,0
CASH_OUT,258953.67,3617.29,0.0,509480.49,768434.16,0
CASH_OUT,124885.22,0.0,0.0,11406286.43,11531171.65,0
CASH_IN,198887.55,7453814.02,7652701.56,737163.77,538276.22,0
PAYMENT,17968.47,0.0,0.0,0.0,0.0,0
CASH_OUT,57701.37,276.0,0.0,0.0,57701.37,0
CASH_OUT,147803.6,73820.0,0.0,249358.35,397161.96,0
CASH_OUT,200330.14,387.0,0.0,3079166.74,3321302.8,0
CASH_OUT,377275.45,0.0,0.0,2072427.97,2266894.08,0
PAYMENT,3950.45,0.0,0.0,0.0,0.0,0
PAYMENT,17678.74,0.0,0.0,0.0,0.0,0
CASH_OUT,97315.53,154925.0,57609.47,34596.08,131911.61,0
PAYMENT,22173.62,0.0,0.0,0.0,0.0,0
CASH_IN,221420.51,6648016.21,6869436.72,1042561.5,821141.0,0
CASH_OUT,629431.23,214049.0,0.0,1163.54,630594.77,0
PAYMENT,5521.12,51674.0,46152.88,0.0,0.0,0
PAYMENT,2904.77,2041.0,0.0,0.0,0.0,0
CASH_OUT,274751.1,55268.44,0.0,0.0,274751.1,0
CASH_IN,116940.06,8006023.41,8122963.47,4174564.42,4057624.36,0
CASH_OUT,21050.76,0.0,0.0,1753480.45,1774531.2,0
CASH_OUT,152046.3,91550.41,0.0,406602.59,558648.89,0
CASH_OUT,291182.56,11149.0,0.0,580539.95,871722.51,0
PAYMENT,1531.71,22881.0,21349.29,0.0,0.0,0
CASH_OUT,13845.29,0.0,0.0,2477960.52,2491805.8,0
PAYMENT,1188.95,0.0,0.0,0.0,0.0,0
PAYMENT,12667.7,374871.91,362204.22,0.0,0.0,0
CASH_OUT,65516.41,115018.0,49501.59,0.0,65516.41,0
PAYMENT,17457.41,0.0,0.0,0.0,0.0,0
PAYMENT,1015.43,0.0,0.0,0.0,0.0,0
CASH_IN,96067.45,1646219.8,1742287.24,130578.67,443125.3,0
PAYMENT,1604.03,210409.0,208804.97,0.0,0.0,0
PAYMENT,14330.33,33848.77,19518.44,0.0,0.0,0
CASH_OUT,229110.92,19919.0,0.0,0.0,229110.92,0
PAYMENT,14057.22,0.0,0.0,0.0,0.0,0
PAYMENT,14167.99,0.0,0.0,0.0,0.0,0
CASH_OUT,138340.69,58350.59,0.0,687441.78,825782.46,0
PAYMENT,9021.0,105202.0,96181.0,0.0,0.0,0
CASH_IN,85955.34,157044.0,242999.34,9356940.48,9270985.14,0
CASH_IN,132823.81,9132442.11,9265265.92,2725669.69,2592845.88,0
CASH_IN,422018.23,42596.0,464614.23,5966582.95,5895065.75,0
CASH_OUT,109480.44,35608.0,0.0,414605.48,524085.92,0
CASH_OUT,386838.1,0.0,0.0,4301043.7,4687881.8,0
CASH_IN,306069.37,30735.0,336804.37,32902.0,0.0,0
CASH_OUT,84782.1,105294.0,20511.9,325520.54,410302.64,0
CASH_IN,87999.13,5084256.68,5172255.81,11698441.45,11725918.02,0
PAYMENT,5733.6,20870.0,15136.4,0.0,0.0,0
PAYMENT,3842.48,20043.0,16200.52,0.0,0.0,0
PAYMENT,8772.84,31132.0,22359.16,0.0,0.0,0
PAYMENT,5038.94,2662.0,0.0,0.0,0.0,0
PAYMENT,32728.65,27874.0,0.0,0.0,0.0,0
CASH_IN,519426.69,16722458.72,17241885.4,4663069.38,4143642.69,0
CASH_OUT,406693.65,0.0,0.0,496364.06,984424.07,0
CASH_IN,351916.36,8083.0,359999.36,43059.3,0.0,0
PAYMENT,1926.85,607.0,0.0,0.0,0.0,0
PAYMENT,3202.17,732.0,0.0,0.0,0.0,0
CASH_OUT,144743.02,6017.0,0.0,644477.61,789220.62,0
PAYMENT,853.36,1062.0,208.64,0.0,0.0,0
PAYMENT,4986.64,0.0,0.0,0.0,0.0,0
CASH_OUT,62040.38,0.0,0.0,2211814.58,2273854.97,0
CASH_OUT,4740.25,0.0,0.0,486820.52,301703.03,0
CASH_OUT,149869.26,50856.0,0.0,223911.52,651220.0,0
CASH_OUT,20304.22,31432.0,11127.78,12100.36,32404.59,0
TRANSFER,555624.58,147.0,0.0,164.23,693416.92,0
PAYMENT,12819.63,0.0,0.0,0.0,0.0,0
TRANSFER,1028852.71,20246.0,0.0,1041815.86,2070668.57,0
CASH_IN,283.6,5996440.38,5996723.97,1696189.39,1695905.79,0
CASH_IN,230630.03,3441454.26,3672084.3,979521.53,748891.49,0
PAYMENT,19578.16,5091.0,0.0,0.0,0.0,0
PAYMENT,785.1,193137.28,192352.18,0.0,0.0,0
PAYMENT,17899.13,11692.0,0.0,0.0,0.0,0
CASH_IN,82914.11,11220.0,94134.11,373996.4,291082.29,0
CASH_OUT,105677.03,0.0,0.0,2456909.13,2562586.16,0
CASH_OUT,273064.49,0.0,0.0,1288210.57,1561275.07,0
PAYMENT,5130.06,18605.39,13475.33,0.0,0.0,0
PAYMENT,29175.35,40169.0,10993.65,0.0,0.0,0
CASH_OUT,21391.53,42287.0,20895.47,0.0,21391.53,0
CASH_OUT,81595.54,20791.0,0.0,17605.25,99200.79,0
PAYMENT,29577.2,153200.0,123622.8,0.0,0.0,0
CASH_OUT,253979.48,10760.0,0.0,468545.46,722524.93,0
PAYMENT,9554.61,0.0,0.0,0.0,0.0,0
CASH_OUT,25634.56,0.0,0.0,203974.01,229608.56,0
TRANSFER,213399.85,94501.0,0.0,4928202.9,5141602.75,0
PAYMENT,13195.74,0.0,0.0,0.0,0.0,0
CASH_OUT,245481.3,0.0,0.0,699504.78,944986.08,0
CASH_OUT,173663.28,185.0,0.0,7831.0,181494.29,0
CASH_IN,174230.84,20723.0,194953.84,0.0,0.0,0
TRANSFER,704477.84,0.0,0.0,1268527.8,1973005.63,0
CASH_IN,21310.21,20668.0,41978.21,88082.21,66772.0,0
CASH_OUT,14554.54,0.0,0.0,1393557.3,1152887.32,0
PAYMENT,2981.95,41003.0,38021.05,0.0,0.0,0
CASH_IN,30656.51,8447254.69,8477911.2,1652056.45,1621399.93,0
CASH_OUT,139046.77,275.0,0.0,613514.29,752561.06,0
CASH_IN,56403.43,9206963.6,9263367.04,1477712.19,1421308.76,0
CASH_OUT,112562.54,30133.0,0.0,0.0,0.0,0
PAYMENT,20419.19,1830.0,0.0,0.0,0.0,0
PAYMENT,884.31,1011.0,126.69,0.0,0.0,0
TRANSFER,194605.15,179833.0,0.0,218530.16,413135.31,0
CASH_IN,408068.76,3020954.94,3429023.71,3993259.28,3585190.52,0
CASH_OUT,148278.59,0.0,0.0,559236.84,707515.43,0
PAYMENT,3227.2,14432.0,11204.8,0.0,0.0,0
CASH_OUT,133027.88,27144.0,0.0,220791.5,353819.38,0
CASH_OUT,49939.64,262.0,0.0,74139.08,124078.72,0
PAYMENT,14129.62,9301.0,0.0,0.0,0.0,0
CASH_IN,281978.35,9947.0,291925.35,737.0,230390.92,0
CASH_OUT,95504.16,55753.0,0.0,616691.11,712195.27,0
TRANSFER,558073.69,0.0,0.0,783207.52,1341281.21,0
CASH_OUT,62351.34,75280.0,12928.66,517241.0,674805.07,0
PAYMENT,11971.69,94298.0,82326.31,0.0,0.0,0
CASH_IN,77544.27,680274.4,757818.67,715136.74,637592.47,0
CASH_OUT,251510.3,31041.0,0.0,0.0,251510.3,0
CASH_OUT,122967.11,0.0,0.0,315922.83,438889.94,0
CASH_IN,251952.25,8240.0,260192.25,1085036.02,833083.76,0
PAYMENT,20020.61,141116.61,121096.01,0.0,0.0,0
PAYMENT,2748.6,0.0,0.0,0.0,0.0,0
CASH_OUT,175825.01,0.0,0.0,178594.62,354419.63,0
PAYMENT,25106.06,0.0,0.0,0.0,0.0,0
CASH_OUT,57023.97,20982.0,0.0,1004178.35,1061202.32,0
CASH_OUT,74103.27,259671.74,185568.47,257370.23,331473.5,0
CASH_OUT,37891.64,52001.0,14109.36,0.0,37891.64,0
CASH_IN,35086.5,4395781.93,4430868.43,292022.69,256936.19,0
CASH_IN,82534.5,773595.05,856129.55,11292790.52,11210256.02,0
PAYMENT,301.03,319073.96,318772.94,0.0,0.0,0
CASH_OUT,393456.7,1555.0,0.0,41056.34,434513.04,0
CASH_OUT,118863.93,0.0,0.0,140889.72,259753.65,0
CASH_OUT,1561.78,0.0,0.0,139168.9,140730.68,0
CASH_IN,404770.93,31400.0,436170.93,269953.19,0.0,0
PAYMENT,7166.88,0.0,0.0,0.0,0.0,0
CASH_IN,499380.8,1434413.45,1933794.24,626865.52,127484.73,0
PAYMENT,13119.97,15326.0,2206.03,0.0,0.0,0
CASH_OUT,19358.73,0.0,0.0,537629.53,556988.26,0
PAYMENT,7519.23,0.0,0.0,0.0,0.0,0
PAYMENT,11361.68,51542.0,40180.32,0.0,0.0,0
CASH_OUT,118961.3,0.0,0.0,1506057.47,1625018.77,0
PAYMENT,4341.45,0.0,0.0,0.0,0.0,0
CASH_OUT,148070.97,2002.0,0.0,2515489.7,2663560.67,0
PAYMENT,12492.84,468.22,0.0,0.0,0.0,0
PAYMENT,6473.04,41299.72,34826.68,0.0,0.0,0
PAYMENT,12665.89,0.0,0.0,0.0,0.0,0
PAYMENT,10976.29,148427.0,137450.71,0.0,0.0,0
PAYMENT,18397.48,0.0,0.0,0.0,0.0,0
CASH_IN,138507.0,5523.0,144030.0,786575.37,648068.37,0
PAYMENT,6964.41,2716.0,0.0,0.0,0.0,0
CASH_IN,370220.37,20071.0,390291.37,89778.12,0.0,0
CASH_OUT,23164.18,20734.0,0.0,1834872.55,1858036.73,0
TRANSFER,1604990.9,0.0,0.0,3017624.0,4622614.9,0
PAYMENT,26276.22,227103.52,200827.3,0.0,0.0,0
CASH_OUT,173404.28,16728.0,0.0,1366828.92,1540233.19,0
PAYMENT,3714.61,5038.0,1323.39,0.0,0.0,0
CASH_OUT,315231.94,50952.0,0.0,0.0,315231.94,0
PAYMENT,6136.09,219972.52,213836.44,0.0,0.0,0
PAYMENT,46627.9,0.0,0.0,0.0,0.0,0
CASH_IN,72955.07,12177753.68,12250708.75,1868927.57,1795972.5,0
CASH_IN,418737.13,2817457.18,3236194.31,2459896.18,2041159.05,0
TRANSFER,453595.03,0.0,0.0,680669.24,1134264.27,0
CASH_OUT,315238.19,11054.0,0.0,514899.77,830137.96,0
PAYMENT,363.12,740530.27,740167.15,0.0,0.0,0
CASH_OUT,15808.02,0.0,0.0,73507.28,89315.3,0
CASH_OUT,6380.8,53642.0,47261.2,560372.09,566752.89,0
CASH_IN,238453.09,4022912.78,4261365.87,3319125.16,3080672.07,0
CASH_IN,571289.71,4699959.64,5271249.35,875173.27,352035.21,0
PAYMENT,32068.6,524466.65,492398.05,0.0,0.0,0
CASH_IN,205114.46,8831862.42,9036976.87,315653.79,110539.34,0
CASH_IN,73805.84,7469788.39,7543594.23,425152.49,351346.65,0
TRANSFER,1140474.16,0.0,0.0,3434546.68,4575020.84,0
PAYMENT,16017.72,0.0,0.0,0.0,0.0,0
CASH_IN,113025.04,898054.15,1011079.18,1221272.8,1108247.77,0
CASH_OUT,41663.47,0.0,0.0,1702851.31,1744514.79,0
CASH_OUT,144375.1,0.0,0.0,520757.02,665132.12,0
CASH_IN,80793.14,130496.0,211289.14,216790.66,135997.52,0
CASH_OUT,106987.51,0.0,0.0,1279502.5,1386490.0,0
PAYMENT,11290.06,36051.0,24760.94,0.0,0.0,0
CASH_IN,35661.78,440.0,36101.78,3339.11,0.0,0
TRANSFER,132195.25,0.0,0.0,388634.6,520829.86,0
CASH_OUT,7622.01,4829.0,0.0,448988.2,901763.84,0
CASH_OUT,84709.85,62572.18,0.0,2848932.61,2933642.46,0
PAYMENT,3393.07,0.0,0.0,0.0,0.0,0
CASH_OUT,34975.52,0.0,0.0,39898.14,74873.66,0
DEBIT,1271.01,1881.0,609.99,2573079.77,2574350.78,0
